title,year,description,genre,rating,users_rating,votes,languages,directors,actors,runtime,rating_float,image
Milea,2020,Milea made the decision to part with Dilan as a warning for Dilan to stay away from the motorcycle gang. But the parting which had been only a bluff for Milea became a parting that lasted until they graduated from college and grew up.,Drama,13+,6.1,239.0,Indonesian,Pidi Baiq,"['Iqbaal Dhiafakhri Ramadhan', 'Vanesha Prescilla', 'Ira Wibowo', 'Bucek Depp', 'Happy Salma', 'Farhan', 'Yoriko Angeline', 'Debo Andryos', 'Zulfa Maharani', 'Gusti Rayhan', 'Omara N. Esteghlal', 'Giulio Parengkuan', 'Andovi Da Lopez', 'Jerome Kurnia', 'Tike Priatnakusumah']",102.0,13.0,https://www.justwatch.com/images/poster/182039897/s166/milea.webp
Nanti Kita Cerita Tentang Hari Ini,2020,"Three siblings live in happy-looking families, but one of them had changed and got warned by his parents. This prompted the rebellion of the three siblings which led to the discovery of the secrets and great trauma in their families.",Drama,13+,7.5,678.0,Indonesian,Angga Dwimas Sasongko,"['Rio Dewanto', 'Sheila Dara Aisha', 'Rachel Amanda', 'Sinyo Riza', 'Nayla D. Purnama', 'Alleyra Fakhira', 'M. Adhiyat', 'Syaqila Afiffah Putri', 'Donny Damara', 'Susan Bachtiar', 'Oka Antara', 'Niken Anjani', 'Agla Artalidia', 'Ardhito Pramono', 'Sivia Azizah']",121.0,13.0,https://images.justwatch.com/poster/321334455/s166/one-day-well-talk-about-today.avif
Nikah Yuk,2020,"Arya (Marcell Darwin) is asked by his parents to get married soon, but he wants to focus on his career as a photographer in Japan. Until one day, Arya met Lia (Yuki Kato), a comic artist who brought his life to a new chapter.",Drama,13+,6.9,15.0,Indonesian,Adhe Dharmastriya,"['Yuki Kato', 'Marcell Darwin', 'Aliyah Faizah', 'Dwi Akraniza A.', 'Jessica Veranda', 'Sadana Agung Sulistya', 'Ananta Rispo', 'Fico Fachriza', 'Roy Marten', 'Ivanka Suwandi', 'Kevin Bzezovski', 'Keinaya Meissi Gusti', nan, nan, nan]",94.0,13.0,https://images.justwatch.com/poster/138776062/s166/.avif
Rasuk 2,2020,"Isabella (Nikita Willy), a medical student who is undergoing intern, feels uncomfortable with her sixth sense ability. She tries hard to think it do not exist, so she could live normally. ...",Horror,17+,6.4,9.0,Indonesian,Rizal Mantovani,"['Nikita Willy', 'Achmad Megantara', 'Asri Welas', 'Raquel Katie Larkin', 'Sonia Alyssa', 'Lania Fira', 'Rachel Patricia', ""Afifah Ifah'nda"", 'Tegar Satrya', 'Iang Darmawan', nan, nan, nan, nan, nan]",95.0,17.0,https://images.justwatch.com/poster/152683384/s166/rasuk-2.avif
Si Doel the Movie 3,2020,"The return of Sarah with his son, Dul, to Jakarta, welcomed happily by the Doel's family. But it also makes Zaenab, Sarah, and Doel confronted with decisive choice.",Drama,13+,7.2,82.0,Indonesian,Rano Karno,"['Rano Karno', 'Maudy Koesnaedi', 'Cornelia Agatha', 'Mandra', 'Suti Karno', 'Rey Bong', 'Aminah Cendrakasih', 'Ahmad Zulhoir Mardia', 'Salman Alfarizi', 'Opie Kumis', 'Ranty Purnamasari', 'Sabar', 'Maryati Tohir', 'Hj. Tonah', 'Wizzy']",93.0,13.0,https://images.justwatch.com/poster/173397368/s166/si-doel-the-movie-3.avif
Titus: Mystery of the Enygma,2020,"A mouse-detective with his rabbit and lizard friends in Steamburg. They will jointly expose the crime one of their biggest enemies, a cat named named Bulpan. Starting as a pickpocket, Bulpan works hard to become a very skilled criminal.",Animation,SU,6.2,10.0,Indonesian,Dineshkumar Subashchandra,"['Arbani Yasiz', 'Ranty Maria', 'Lukman Sardi', 'Robby Purba', 'Jessica Tanoesoedibjo', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",95.0,0.0,https://images.justwatch.com/poster/320357450/s166/.avif
Toko Barang Mantan,2020,"Tristan (Reza Rahadian) is the owner of the shop that buys and sells ex-lover items for people who want to move on. Suddenly, Laras (Marsha Timothy), his ex-lover, comes and makes his life turned upside down.",Comedy,13+,6.3,71.0,Indonesian,Viva Westi,"['Reza Rahadian', 'Marsha Timothy', 'Iedil Dzuhrie Alaudin', 'Dea Panendra', 'Syifa Hadju', 'Niken Anjani', 'Brigitta Cynthia', 'Mas Cemen', 'Ibob Tarigan', 'Martin Anugerah', 'Roy Marten', 'Laura Theux', 'Fendy Chow', 'Stella Cornelia', 'Shareefa Daanish']",98.0,13.0,https://images.justwatch.com/poster/142626285/s166/.avif
#Malam Jumat: The Movie,2019,"To provide a different experience to his subscribers, Ewing tries something new by exploring a playground called the Wonder Park that had been abandoned for a long time. With his team, Agan...",Horror,17+,5.3,47.0,Indonesian,Hadrah Daeng Ratu,"['Ewing H.D.', 'Zoe Abbas Jackson', 'Dea Annisa', 'Randy Pangalila', 'Ade Firman Hakim', 'Ajil Ditto', 'Harris Illano', 'Putra Dinata', 'Sonia Alyssa', 'Chaca Marisa', 'Andy Jali', nan, nan, nan, nan]",91.0,17.0,https://images.justwatch.com/poster/204246119/s166/.avif
27 Steps of May,2019,"Following a horrible experience, May has isolated herself and stopped talking. Her father blames himself and tries to live by May's conditions year after year. But one day a hole appears in the wall and through it May discovers a magician.",Drama,17+,8.2,280.0,Indonesian,Ravi L. Bharwani,"['Raihaanun Soeriaatmadja', 'Lukman Sardi', 'Ario Bayu', 'Verdi Solaiman', 'Norman R. Akyuwen', 'Fajar Alamsyah', 'Alfon', 'Joko Anwar', 'Bowie Budianto', 'Elsa Dinra', 'Maryadi', 'Nandang', 'Richard Oh', 'Jonathan Ozoh', 'Otig Pakis']",112.0,17.0,https://images.justwatch.com/poster/126828197/s166/27-steps-of-may.avif
99 Nama Cinta,2019,"The life of a producer of popular gossip shows, suddenly changed drastically when she met a young cleric who appeared in his office to teach her religious lessons as the wish of her father as a debt favor to him.",Drama,SU,8.0,13.0,Indonesian,Danial Rifki,"['Acha Septriasa', 'Deva Mahenra', 'Ira Wibowo', 'Donny Damara', 'Chiki Fawzi', 'Adinda Thomas', 'Susan Sameh', 'Dzawin', 'Robby Purba', 'Ji-hye Moon', nan, nan, nan, nan, nan]",106.0,0.0,https://images.justwatch.com/poster/320269503/s166/.avif
Abracadabra,2019,"A magician in the magic show makes a little boy vanishing from his magic box. The show turns tragic, as he cannot make this boy come back to the stage.",Comedy,13+,5.9,39.0,Indonesian,Faozan Rizal,"['Reza Rahadian', 'Butet Kertaradjasa', 'Salvita Decorte', 'Ence Bagus', 'Imam Darto', 'Dewi Irawan', 'Jajang C. Noer', 'Egy Fedly', 'Lukman Sardi', 'Poppy Sovia', 'Paul Agusta', 'Landung Simatupang', 'Veronika Krasnasari', 'Valerie Krasnadewi', 'Asmara Abigail']",86.0,13.0,https://images.justwatch.com/poster/154112770/s166/.avif
After Met You,2019,"Ari, the coolest and most handsome guy at his school, is challenged by his friends to find a girlfriend who is definitely not interested in him.",Drama,13+,7.8,48.0,Indonesian,Patrick Effendy,"['Ari Irham', 'Yoriko Angeline', 'Michelle Wanda', 'Naufan Raid Azka', 'Yudha Keling', 'Chicco Kurniawan', 'Dede Satria', 'Joe Project P.', 'Anabel Prisillya', 'Surya Saputra', 'Wulan Guritno', 'Nuraini', 'Joshua Suherman', 'Rigen Rakelna', 'Ananta Rispo']",107.0,13.0,https://images.justwatch.com/poster/141513489/s166/after-met-you.avif
Ajari Aku Islam,2019,"Kenny (Roger Danuarta), a Medan Chinese young man fell in love with Fidya (Cut Meyriska) a Batak Melayu Muslim girl. Over time, they love each other, but they were also hit by cultural and religious differences.",Drama,13+,7.1,34.0,Indonesian,Deni Pusung,"['Roger Danuarta', 'Cut Meyriska', 'Shinta Naomi', 'Miqdad Addausy', 'Asrul Dahlan', 'August Melasz', 'Elkie Kwee', 'Rebecca Regina', 'Neny Anggraeni', 'Roni Galoeng', 'Jennifer Darren', nan, nan, nan, nan]",93.0,13.0,https://images.justwatch.com/poster/153337173/s166/.avif
Ambu,2019,"Ambu Misnah was left by her daughter, Fatma. She left their house at the Baduy for her love for Nico, the youth from Jakarta. Fatma then has a child named Nona. One day, Fatma brings Nona to Baduy. Family polemic arises.",Drama,13+,7.8,16.0,Indonesian,Farid Dermawan,"['Widyawati', 'Laudya Cynthia Bella', 'Lutesha', 'Baim Wong', 'Endhita', 'Andri Mashadi', nan, nan, nan, nan, nan, nan, nan, nan, nan]",118.0,13.0,https://images.justwatch.com/poster/320265041/s166/ambu.avif
Anak Hoki,2019,"In his early teens, Ahok has to leave the comfort of his life in Belitung and start living independently in Jakarta. Ahok then gets to know Daniel, Bayu, and Eva who become his closest ...",Drama,13+,4.7,11.0,Indonesian,Ginanti Rona Tembang Sari,"['Kenny Austin', 'Nadine Waworuntu', 'Lolox', 'Chris Laurent', 'Maia Estianty', 'Tamara Geraldine', 'Leroy Osmani', 'Elkie Kwee', 'Keke Soeryo', 'Niniek Arum', 'Tina Toon', 'Neny Anggraeni', 'Harry Tjahaja Purnama', 'Edric Tjandra', 'Fero Walandouw']",97.0,13.0,https://images.justwatch.com/poster/320359011/s166/.avif
Anak Muda Palsu,2019,"Tumming, Abu, Illank, and Darwis, the final semester students at the University of Hasanuddin, are troubled at the thought of their lectures that had not finished. They stay in the same ...",Comedy,13+,8.8,23.0,Indonesian,Ihdar Nur,"['Tumming', 'Abu', 'Reo Ramadhan', 'Hisyam Hamsir', 'Mamak Ramlah', 'Luna Vidya', 'Inten Navadia', 'Fitrah Rachmadani', nan, nan, nan, nan, nan, nan, nan]",103.0,13.0,https://images.justwatch.com/poster/320267261/s166/.avif
Antologi Rasa,2019,"Keara (Carissa Perusset) loves Ruly (Refal Hady), even though she realizes that Ruly loves Denise (Atikah Suhaime). Meanwhile, Harris (Herjunot Ali) also has found his true love in Keara. But for Keara, Harris is just her best friend.",Drama,17+,7.2,98.0,Indonesian,Rizal Mantovani,"['Herjunot Ali', 'Carissa Perusset', 'Refal Hady', 'Atikah Suhaime', 'Angel Pieters', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",108.0,17.0,https://images.justwatch.com/poster/238433530/s166/an-anthology-of-fellings.avif
Arwah Noni Belanda,2019,In Batavia in 1834 lived Hellen Van Stolch. Hellen was the only daughter of a Dutch-German landlord who had a large plantation: Jacob Van Stolch. The tragic story that she experienced made ...,Horror,17+,6.2,5.0,Indonesian,Agus Pestol,"['Sara Wijayanto', 'Milena Tunguz', 'Nayla D. Purnama', 'Willem Bevers', 'Ferdian Ariyadi', 'Maurie Chevalier', nan, nan, nan, nan, nan, nan, nan, nan, nan]",75.0,17.0,https://images.justwatch.com/poster/320263486/s166/.avif
Bebas,2019,"A group of five girls and one boy becomes best friends since high school. One tragic event had to split them apart. 23 years later, one of them lay dying in a hospital. She hopes she could see all five of her old friends for the last time.",Comedy,13+,7.3,358.0,Indonesian,Riri Riza,"['Maizura', 'Sheryl Sheinafia', 'Agatha Pricilla', 'Baskara Mahendra', 'Zulfa Maharani', 'Lutesha', 'Marsha Timothy', 'Susan Bachtiar', 'Indi Barends', 'Baim Wong', 'Widi Mulia', 'Salvita Decorte', 'Kevin Ardilova', 'Oka Antara', 'Brandon Salim']",119.0,13.0,https://images.justwatch.com/poster/153861340/s166/glorious-days.avif
Bike Boyz,2019,"When Agus wanted to help Lilis look for her husband who had not come home for three months and was not patient, Vespa Agus was taken away by someone.",Comedy,13+,7.2,9.0,Indonesian,Aris Nugraha,"['Aep Bancet', 'Aline Manza', 'Gariz Luiz', 'Damar Rizal', 'Jo Salim', 'Dicky Tanjung', 'Fadly Maulana', 'Delisa Herlina', 'Enco Ruhayat', 'Birgi Putri', 'Daisy Brata', 'Fenny Yulianto', 'Iphey Kabimo', 'Dian Sule', 'Herry Sog']",95.0,13.0,https://images.justwatch.com/poster/320655773/s166/bike-boyz.avif
Bridezilla,2019,A wedding organizer has been obsessed since childhood to make the most magnificent wedding. She is ambitious to make the wedding she is working on to be a wedding of the year from Wedding Star magazine.,Comedy,13+,6.0,33.0,Indonesian,Andibachtiar Yusuf,"['Jessica Mila', 'Rio Dewanto', 'Sheila Dara Aisha', 'Widyawati', 'Aimee Saras', 'Rafael Landry Tanubrata', 'Adriano Qalbi', 'Lucinta Luna', nan, nan, nan, nan, nan, nan, nan]",94.0,13.0,https://images.justwatch.com/poster/138957991/s166/bridezilla.avif
Bumi Itu Bulat,2019,"Rahabi has an acapella music group called Rujak Acapella. It consists of friends with different backgrounds. Hitu, who aspires to be a Banser because they once helped his family during a ...",Drama,13+,7.3,9.0,Indonesian,Ron Widodo,"['Rayn Wijaya', 'Febby Rastanty', 'Rania Putri Sari', 'Kenny Austin', 'Qausar Harta Yudana', 'Aldy Rialdy', 'Mathias Muchus', 'Tissa Biani Azzahra', 'Arie Kriting', 'Ria Irawan', 'Alfie Alfandi', 'Christine Hakim', nan, nan, nan]",103.0,13.0,https://images.justwatch.com/poster/321323859/s166/bumi-itu-bulat.avif
Calon Bini,2019,"Ningsih (Michelle Ziudith) is forced to marry Sapto (Dian Sidik) by her father, but she doesn't care about that and fled to Jakarta. In there, she falls in love with the person that she met on the internet.",Comedy,13+,7.0,43.0,Indonesian,Asep Kusdinar,"['Michelle Ziudith', 'Rizky Nazar', 'Dian Sidik', 'Ramzi', 'Cut Mini Theo', 'Marwoto', 'Slamet Rahardjo', 'Minati Atmanegara', 'Niniek L. Karim', 'Butet Kertaradjasa', 'Maya Wulan', 'Eko Mulyadi', 'Yuniza Icha', 'Anyun Cadel', 'Adhelheid Bunga W.']",96.0,13.0,https://images.justwatch.com/poster/320356453/s166/calon-bini.avif
Danur 3: Sunyaruri,2019,"After years of being friendly with her little ghosts, a girl begins to feel that she must have a normal life like other girls. Especially, now she has a boyfriend, but she doesn't tell him about her ability to see ghosts.",Horror,13+,4.7,102.0,Indonesian,Awi Suryadi,"['Prilly Latuconsina', 'Rizky Nazar', 'Syifa Hadju', 'Sandrinna Michelle', 'Umay Shahab', 'Stefhani Zamora Husen', 'Yassien Omar', 'Daood', 'Jason Lionel', 'Alessandro Rizky Giannini', 'Matt White', 'Chicco Kurniawan', 'Dea Panendra', 'Hayati Azis', nan]",90.0,13.0,https://images.justwatch.com/poster/204137454/s166/danur-3-sunyaruri.avif
Darah Daging,2019,Three siblings carry out a bank robbery to save the lives of their mothers.,Action,17+,7.2,17.0,Indonesian,Sarjono Sutrisno,"['Ario Bayu', 'Donny Alamsyah', 'Rangga Nattra', 'Arnold Leonard', 'Estelle Linden', 'Karina Suwandhi', 'Tanta Ginting', 'Diandra Sabrina', 'Ray Sahetapy', 'Cantika Putri Kirana', nan, nan, nan, nan, nan]",83.0,17.0,https://images.justwatch.com/poster/159760581/s166/.avif
Death Whisper,2019,"Alex, a new highschool student met Maggie, and become best friends. Suddenly weird things started to happen in their highschool.",Horror,17+,6.4,146.0,Indonesian,Awi Suryadi,"['Amanda Rawles', 'Angga Yunanda', 'Teuku Ryzki', 'Arya Vasco', 'Naomi Paulinda', 'Unique Priscilla', 'Verdi Solaiman', 'Dayu Wijanto', 'Sonia Alyssa', 'Abarrane Issabeau', 'Nicolea Anstee', 'Djihan Ranti Larasati', nan, nan, nan]",91.0,17.0,https://images.justwatch.com/poster/122733622/s166/death-whisper.avif
Dilan 1991,2019,"Dilan and Milea officially date. But Dilan is threatened to be expelled from school due to involves in gang fights. One day, when he is planning to fight again, Milea asks him to quit the motorcycle gang or their relationship ends.",Drama,13+,6.6,724.0,Indonesian,Pidi Baiq,"['Iqbaal Dhiafakhri Ramadhan', 'Vanesha Prescilla', 'Ira Wibowo', 'Bucek Depp', 'Adhisty Zara', 'Afrizal', 'Herwan Sumadipura', 'Daisy', 'Happy Salma', 'Farhan', 'Moira', 'Ceu Popon', 'Roy Sungkono', 'Maudy Koesnaedi', 'Jerome Kurnia']",121.0,13.0,https://images.justwatch.com/poster/114366985/s166/dilan-1991.avif
Doremi & You,2019,"Four friends try to change the money from the extracurricular choir that they accidentally omitted, by participating in the Doremi and You singing competition.",Drama,SU,7.8,39.0,Indonesian,B.W. Purba Negara,"['Adyla Rafa Naura Ayu', 'Devano Danendra', 'Fatih Unru', 'Nashwa Zahira', 'Toran Waibro', 'Sekar Sari', 'Simhala Avadana', 'Paundrakarna Sukmaputra Jiwanegara', nan, nan, nan, nan, nan, nan, nan]",99.0,0.0,https://images.justwatch.com/poster/211139939/s166/doremi-and-you.avif
DreadOut,2019,Six friends want to become popular by recording their adventures to be uploaded to social media accounts. They choose to go to the abandoned apartment and suddenly open a portal to the magical world and infuriate the portal guardian.,Adventure,17+,5.3,390.0,Indonesian,Kimo Stamboel,"['Caitlin Halderman', 'Jefri Nichol', 'Marsha Aruan', 'Ciccio Manassero', 'Susan Sameh', 'Irsyadillah', 'Miller Khan', 'Mike Lucock', 'Cathy Natafitria Fakandi', 'Hannah Al Rashid', 'Salvita Decorte', 'Rima Melati Adams', nan, nan, nan]",97.0,17.0,https://images.justwatch.com/poster/304190271/s166/dreadout.avif
Dua Garis Biru,2019,"A young couple violated the boundary without knowing the consequences. They try to take responsibility for their choices and their innocence was tested when families who really loved them knew, then forced into their chosen journey.",Drama,13+,8.0,763.0,Indonesian,Ginatri S. Noer,"['Adhisty Zara', 'Angga Yunanda', 'Cut Mini Theo', 'Arswendi Nasution', 'Dwi Sasono', 'Lulu Tobing', 'Rachel Amanda', 'Maisha Kanna', 'Shakira Jasmine', 'Ligwina Hananto', 'Cindy Hapsari', 'Ariella Calista Ichwan', 'Irgi Fahrezi', 'Rahma Alia', 'Asri Welas']",113.0,13.0,https://images.justwatch.com/poster/152118079/s166/two-blue-stripes.avif
Eggnoid,2019,Eggnoid is a human who comes out from Eggnoid eggs. He's been assigned to look after and be a friend when a human feels lonely.,Drama,13+,6.2,27.0,Indonesian,Naya Anindita,"['Sheila Dara Aisha', 'Morgan Oey', 'Luna Maya', 'Kevin Julio', 'Anggika Bolsterli', 'Reza Nangin', 'Martin Anugerah', 'Fatih Unru', 'Reuben Elishama', 'Marissa Anita', nan, nan, nan, nan, nan]",102.0,13.0,https://images.justwatch.com/poster/160152598/s166/eggnoid-love-and-time-portal.avif
Ghost Writer,2019,"An old diary containing dark secrets found by Naya, a novelist who has out of ideas for 3 years. This book is a good material for her latest novel, but something unexpected starts to happen.",Comedy,13+,6.8,261.0,Indonesian,Bene Dion Rajagukguk,"['Tatjana Saphira', 'Ge Pamungkas', 'Deva Mahenra', 'Ernest Prakasa', 'Asmara Abigail', 'Endy Arfian', 'Slamet Rahardjo', 'Dayu Wijanto', 'M. Iqbal Sulaiman', 'Arief Didu', 'Arie Kriting', 'Muhadkly Acho', 'Denny Gitong', 'Asri Welas', 'Elkie Kwee']",97.0,13.0,https://images.justwatch.com/poster/211137185/s166/ghost-writer.avif
Habibie & Ainun 3,2019,"This movie follows the story of Hasri Ainun Besari Habibie's young life when she was in high school and medical college. She was known as a smart figure who became an idol and admired by many male students, including B.J. Habibie.",Biography,13+,7.0,133.0,Indonesian,Hanung Bramantyo,"['Maudy Ayunda', 'Jefri Nichol', 'Reza Rahadian', 'Lukman Sardi', 'Marcella Zalianty', 'Arswendi Nasution', 'Jennifer Coppen', 'Rebecca Klopper', 'Teuku Ryzki', 'Eric Febrian', 'Aghniny Haque', 'Arya Saloka', 'Kevin Ardilova', 'Mike Lucock', 'Amaranggana']",121.0,13.0,https://images.justwatch.com/poster/155097227/s166/habibie-and-ainun-3.avif
Hayya: The Power of Love 2,2019,"Haunted by the sins in his past, a journalist decides to become a humanitarian volunteer in the Palestinian border refugee camp. In that area, he meets Hayya, an innocent orphaned girl who is a victim of the conflict in Palestine.",Drama,13+,5.0,147.0,Indonesian,Jastis Arimba,"['Ria Ricis', 'Fauzi Baadila', 'Adhin Abdul Hakim', 'Amna Hasanah Shahab', 'Meyda Sefira', 'Hamas Syahid', 'Humaidi Abas', 'Asma Nadia', 'Fajar Lubis', nan, nan, nan, nan, nan, nan]",101.0,13.0,https://images.justwatch.com/poster/321035032/s166/.avif
Hit & Run,2019,"A celebrity policeman who is followed by cameras everywhere because he has his own reality show. He is assigned to arrest a drug kingpin who has just escaped from prison. Unfortunately, this time he must be paired with a conman.",Action,17+,6.2,157.0,Indonesian,Ody C. Harahap,"['Joe Taslim', 'Chandra Liow', 'Tatjana Saphira', 'Jefri Nichol', 'Nadya Arina', 'Yayan Ruhian', 'Reza Aditya', 'Qausar Harta Yudana', 'Peter Taslim', 'Simone Julia', 'David Hendrawan', 'Novi Rahmat Hidayat', 'Karina Suwandhi', 'Mathias Muchus', 'Caitlin North Lewis']",114.0,17.0,https://images.justwatch.com/poster/321027390/s166/hit-and-run-2019.avif
Horas Amang: Tiga Bulan Untuk Selamanya,2019,"The story of a family that is not harmonious: Amang or father and his three unfilial children. Out of love for her children, Amang uses an unusual way to change their lives forever.",Comedy,13+,9.4,16.0,Indonesian,Irham Acho Bahtiar,"['Cok Simbara', 'Tanta Ginting', 'Novita Dewi', 'Piet Pagau', 'Jack Marpaung', 'Dendi Tambunan', 'Vanessa', 'Elli Sofiana', 'Rizma Simbolon', 'Manda Cello', 'Ibas Aragi', 'Jufriaman Saragih', 'Indra Pacique', 'Farrel Alfaro', 'Keysarah Flajsova']",109.0,13.0,https://images.justwatch.com/poster/320656303/s166/.avif
Ikut Aku ke Neraka,2019,The happiness of Lita and her husband Rama do not last long because Lita is often terrorized by creepy female creatures. Rama brings Mr. Adam to clean their house from the ghost disturbance...,Horror,17+,5.8,43.0,Indonesian,Azhar Kinoi Lubis,"['Clara Bernadeth', 'Rendy Kjaernett', 'Cut Mini Theo', 'Sara Wijayanto', 'Rini Mentari', 'T. Rifnu Wikana', 'Nining Yuningsih', 'Nayla D. Purnama', 'Raymond M.C.', 'Dian Sidik', 'Vonny Anggraini', 'Ence Bagus', 'Ninok Wiryono', nan, nan]",90.0,17.0,https://images.justwatch.com/poster/320653715/s166/follow-me-to-hell.avif
Imperfect,2019,"Being born fat and has dark skins, it feels like a curse for Rara, especially when she worked at the office that has surrounded by pretty girls. Her boss wants her to lose her weight, but there is a man who loves the way she were.",Comedy,13+,7.8,624.0,Indonesian,Ernest Prakasa,"['Jessica Mila', 'Reza Rahadian', 'Yasmin Napper', 'Karina Suwandhi', 'Dion Wiyoko', 'Kiki Narendra', 'Shareefa Daanish', 'Dewi Irawan', 'Ernest Prakasa', 'Clara Bernadeth', 'Karina Nadila', 'Devina Aureel', 'Kiky Saputri', 'Zsazsa Utari', 'Aci Resti']",113.0,13.0,https://images.justwatch.com/poster/310360473/s166/imperfect-2019.avif
Impetigore,2019,"Maya with her best friend, Dini, tries to survive in a city without a family. She realized that she might inherit a property from her rich family. Maya returns to the village with Dini and unaware of the danger was waiting for her.",Drama,17+,6.9,1877.0,Indonesian,Joko Anwar,"['Tara Basro', 'Ario Bayu', 'Marissa Anita', 'Christine Hakim', 'Asmara Abigail', 'Kiki Narendra', 'Zidni Hakim', 'Faradina Mufti', 'Abdurrahman Arif', 'Muhammad Abe Baasyin', 'Mursiyanto', 'Ahmad Ramadhan', 'Aura Agna', 'Sindris Ogiska G.', 'Devona Queeny']",106.0,17.0,https://images.justwatch.com/poster/198866496/s166/impetigore.avif
Iqro: My Universe,2019,"Aqilla has aspirations to become an astronaut, Her grandfather, an astronomer, is a place where Aqilla learned a lot and asked questions. Aqilla's hobbies in outer space make her compete ...",Drama,SU,6.6,8.0,Indonesian,Iqbal Alfajri,"['Aisha Nurra Datau', 'Cok Simbara', 'Raihan Khan', 'Maudy Koesnaedi', 'Mike Lucock', 'Adhitya Putri', 'Elliz Christine', 'Ben Kasyafani', 'Mario Irwinsyah', 'Adityawarman', 'Azra Mayraina', 'Aprilya Azzahra', 'Astri Ivo', 'Meriam Bellina', 'Pratiwi Sudarmono']",101.0,0.0,
Jeritan Malam,2019,"Reza and his three friends tried to explore the history of the dorm they lived. But unfortunately, Reza does a ritual that should not have been done.",Horror,17+,6.5,35.0,Indonesian,Rocky Soraya,"['Herjunot Ali', 'Cinta Laura Kiehl', 'Winky Wiryawan', 'Indra Brasco', 'Siva Aprilia', 'Fuad Idris', 'Roy Marten', ""D'Ratu"", 'Otig Pakis', 'Uno Eko', 'Abah Yongki', 'Lukman Syah', 'Ali Mario', 'Goetheng Iku Ahkin', 'Iwan Gardiawan']",119.0,17.0,
"Kajeng Kliwon, Nightmare in Bali",2019,"AGNI, a doctor and native Balinese prepares her wedding reception with her fiance, NICO. A beheading case is linked to a supernatural disturbance has befallen the troubled couple. A tale of love, jealousy and a mythical Bali Legend.",Horror,17+,4.5,6.0,Indonesian,Bambang Drias,"['Amanda Manoppo', 'Christ Laurent', 'Atikah Suhaime', 'Vincent Andrianto', 'Indah Kalalo', 'Mutia Datau', 'Cathrine Wilson', 'Egy Fedly', 'Wedananda Mahawira Ciptawan', 'Deva Wisesa Ciptawan', 'Anastasia Mikayla Aspari', 'Gangga Swasty Triandini', 'Nabilla Octarieza Putry A.', 'Ida Pinandita', 'Agung Bagus Peliatan']",76.0,17.0,
Kapal Goyang Kapten,2019,"Three amateur hijackers hijacked a tourist ship that sailed in the Maluku Sea. Because of their stupidity, they instead sank the ship and they were all stranded on an empty island. The ship hostages then turned berserk to the hijackers.",Comedy,13+,6.6,23.0,Indonesian,Raymond Handaya,"['Yuki Kato', 'Ge Pamungkas', 'Babe Cabita', 'Muhadkly Acho', 'Mamat Alkatiri', 'Arief Didu', 'Asri Welas', 'Romaria Simbolon', 'Ananta Rispo', 'Andi Anissa Lasyah', 'Ryma Karimah', 'Roy Marten', 'Yusril Fahriza', 'Mathias Muchus', 'Naomi Papilaya']",110.0,13.0,
Kelam,2019,"After the heart donors, Sasha comes home and somethings happened. Nina assumed that it's because the heart donor he had from Tiara and she haunting the house. Nina, have to fight and save Sasha from the terror of that child ghost.",Horror,13+,4.5,6.0,Indonesian,Erwin Arnada,"['Aura Kasih', 'Amanda Manoppo', 'Giselle Tambunan', 'Evan Sanders', 'Rina Hasyim', 'Ade Firman Hakim', 'Aisyah K.L.', nan, nan, nan, nan, nan, nan, nan, nan]",75.0,13.0,
Kembalinya Anak Iblis,2019,"Rama, Garin, Farel, Quincy and Celsi survive from the spirit terror at the Ayunan Island resort which harbored a terrible history of the slaughter of a family and resort employees. Rama is ...",Horror,17+,5.0,10.0,Indonesian,Rudy Soedjarwo,"['Al Ghazali', 'Mikha Tambayong', 'Valerie Thomas', 'Achmad Megantara', 'Atta Halilintar', 'Endy Arfian', 'Stefhani Zamora Husen', 'Marsha Aruan', 'Nurul Mukharomah', 'Jeremy Thomas', 'Fauzi Baadila', 'Tia Ivanka', 'Khadijah Banderas', 'Wani Siregar', 'Juna Rorimpandey']",84.0,17.0,
Koboy Kampus,2019,"During college in the 90s, Pidi and his friends, Ninu, Deni, Erwin, and Dikdik founded a country of their own called ""The United State of the Republic of The Panasdalam"". The problems of college and love stories they experienced.",Comedy,13+,5.8,19.0,Indonesian,Pidi Baiq,"['Jason Ranti', 'Ricky Harun', 'David Jhon', 'Miqdad Addausy', 'Bisma Karisma', 'Stefhani Zamora Husen', 'Danilla Riyadi', 'Ratu Vienny Fitrilya', 'Christina Colondam', 'Jennifer Lepas', 'Anfa Safitri', 'Chicha Koeswoyo', 'Ria Irawan', 'Arjan Onderdenwijngaard', nan]",92.0,13.0,
