title,year,description,genre,rating,users_rating,votes,languages,directors,actors,runtime,rating_float,image
Perempuan Berkalung Sorban,2009,"The story of a woman sacrifice and struggle, as a child as well as a mother and a wife, in the environment of the clerics' family in the Islamic Boarding School because she received unfair approval.",Drama,17+,6.7,120.0,Indonesian,Hanung Bramantyo,"['Revalina S. Temat', 'Joshua Pandelaki', 'Widyawati', 'Oka Antara', 'Reza Rahadian', 'Ida Leman', 'Leroy Osmani', 'Frans Christianto', 'Berliana Febryanti', 'Erron Lebang', 'Tika Putri', 'Risty Tagor', 'Francine Roosenda', 'Pangky Suwito', 'Piet Pagau']",131.0,17.0,
Hantu Jembatan Ancol,2008,"NIKKO (BEN JOSHUA) 20 years old, handsome, last semester student, engages to a beautiful and smart woman, DONNA (NIA RAMADHANI), 19 years old. Nikko loves donna very much, and so does the ...",Horror,D,3.7,23.0,Indonesian,Arie Azis,"['Dennis Adhiswara', 'Nadila Ernesta', 'Ben Joshua', 'Nia Ramadhani', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",90.0,21.0,
Kereta Hantu Manggarai,2008,"A group of teenagers performs a ritual to ""summon"" and board a train that is said to be a ghost train, to find their member's missing sister. On the train, they experience various terrible events.",Horror,R,5.1,195.0,Indonesian,Nayato Fio Nuala,"['Sheila Marcia', 'Melvin Giovanie', 'Stefanie Hariadi', 'Nadila Ernesta', 'Gianina Emanuela', 'Fendi Trihartanto', 'Rina Hasyim', 'Abio Abie', 'Diah Cempaka Sari', nan, nan, nan, nan, nan, nan]",89.0,13.0,
Laskar Pelangi,2008,"In the 1970s, a group of 10 students struggles with poverty and develop hopes for the future in Gantong Village on the farming and tin mining island of Belitung off the east coast of Sumatra.",Adventure,SU,7.8,2045.0,Indonesian,Riri Riza,"['Cut Mini Theo', 'Zulfanny', 'Ikranagara', 'Lukman Sardi', 'Ferdian', 'Tora Sudiro', 'Ario Bayu', 'Slamet Rahardjo', 'Mathias Muchus', 'Rieke Dyah Pitaloka', 'Verrys Yamarno', 'T. Rifnu Wikana', 'Alex Komang', 'Jajang C. Noer', 'Robby Tumewu']",124.0,0.0,
Tali Pocong Perawan,2008,A jealous young man tries to steal his brother's girlfriend using the power of an ancient myth.,Horror,SU,3.4,58.0,Indonesian,Arie Azis,"['Dewi Perssik', 'Ramon Y. Tungka', 'Ibnu Jamil', 'Endhita', 'Dwi Putrantiwi', 'Zora Vidyanata', 'Cathrine Wilson', nan, nan, nan, nan, nan, nan, nan, nan]",105.0,0.0,
The Tarix Jabrix,2008,"Starting from the desire of Cacing, an energetic natural born leader, wants to become a member of The Road Devil, the most brutal and feared Motorcycle Gang in the City of Bandung. But he always fails when undergoing tests or exams.",Comedy,SU,6.7,90.0,Indonesian,Iqbal Rais,"['Tria Changcut', 'Erick Changcut', 'Qibil Changcut', 'Alda Changcut', 'Dipa Changcut', 'Carissa Putri', 'Francine Roosenda', 'Ario Bayu', 'Sam Bimbo', 'Edi Brokoli', 'Sellen Fernandez', 'Sisca Jessica', 'Iga Mawarni', nan, nan]",95.0,0.0,
Verses of Love,2008,A man who try to get through a complicated relationship in the Islamic way.,Drama,17+,7.1,981.0,Indonesian,Hanung Bramantyo,"['Fedi Nuril', 'Rianti Cartwright', 'Carissa Putri', 'Zaskia Adya Mecca', 'Melanie Putria', 'Dennis Adhiswara', 'Oka Antara', 'Surya Saputra', 'Mieke Wijaya', 'Amak Baldjun', 'Marini Burhan', 'Rudy Wowor', 'Leroy Osmani', nan, nan]",130.0,17.0,
Jelangkung 3,2007,"Yodi wanted more than anything to find out if the stories about the curse associated with the horror movie Jelangkung were true. He had heard that if someone watched the movie alone, they ...",Horror,SU,4.7,23.0,Indonesian,Angga Dwimas Sasongko,"['Mitha Griselda', 'Reza Pahlevi', 'Andrew Roxburgh', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",90.0,0.0,
Lotus Requiem,2007,"This is an omnibus film by women directors: Nia Dinata (Love for Share), Upi Avianto (Radit and Jani), Lasja Fauzia Susatyo (Not an Ordinary Star), and one guest director, Fatimah T. Rony. ...",Drama,D,7.5,70.0,Indonesian,Upi Avianto,"['Fauzi Baadila', 'Susan Bachtiar', 'Otto Djauhari', 'Kirana Larasati', 'Arswendi Nasution', 'Ade Firza Paloh', 'Rieke Dyah Pitaloka', 'Ratna Riantiarno', 'Rachel Maryam Sayidina', 'Sarah Sechan', 'Shanty', 'Tarzan', 'Winky Wiryawan', nan, nan]",105.0,21.0,
Miracle: Menantang Maut,2007,Kinar got alphabetic code KITA MATI that indicates the upcoming deaths of herself and everyone with initial in the code,Horror,SU,3.6,14.0,Indonesian,Helfi C.H. Kardit,"['Abimana Aryasatya', 'Ivy Batuta', 'Nadila Ernesta', 'Lian Firman', 'Andry Ilham', 'Inong', 'Dhitra Marfie', 'Intan Ayu Purnama', 'Keira Sabhira', 'Wisnu Wijaya', nan, nan, nan, nan, nan]",98.0,0.0,
